soc_code,bls_occ_title,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",40850,1.9,20.95,43580.0,0.4,14.85,17.55,20.56,23.37,27.97,30890.0,36510.0,42770.0,48620.0,58170.0,,
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",61420,1.8,20.95,43570.0,0.3,15.44,17.84,20.86,23.42,27.32,32110.0,37100.0,43380.0,48720.0,56830.0,,
51-7099,"Woodworkers, All Other",5490,7.0,22.15,46070.0,1.9,14.67,17.46,21.41,26.53,30.84,30510.0,36320.0,44530.0,55180.0,64150.0,,
51-8011,Nuclear Power Reactor Operators,5150,0.5,58.36,121380.0,0.1,47.42,52.61,59.08,62.73,71.78,98640.0,109440.0,122890.0,130490.0,149310.0,,
51-8012,Power Distributors and Dispatchers,8520,5.7,53.52,111320.0,0.9,34.83,43.37,51.31,62.95,74.17,72440.0,90200.0,106730.0,130940.0,154270.0,,
51-8013,Power Plant Operators,29320,2.4,47.97,99790.0,0.7,29.71,38.31,49.06,57.25,63.44,61790.0,79690.0,102040.0,119080.0,131940.0,,
51-8021,Stationary Engineers and Boiler Operators,28250,2.1,40.37,83960.0,0.6,24.32,30.37,37.8,48.63,60.28,50590.0,63160.0,78620.0,101150.0,125390.0,,
51-8031,Water and Wastewater Treatment Plant and System Operators,128490,1.1,30.07,62540.0,0.4,18.8,23.1,28.86,35.95,43.78,39110.0,48040.0,60020.0,74780.0,91060.0,,
51-8091,Chemical Plant and System Operators,16610,5.2,38.45,79970.0,1.4,23.27,29.01,37.56,47.44,53.81,48400.0,60330.0,78120.0,98660.0,111930.0,,
51-8092,Gas Plant Operators,18030,3.5,42.65,88710.0,0.6,29.5,36.96,42.22,48.49,55.54,61350.0,76870.0,87820.0,100870.0,115520.0,,
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",33160,2.9,43.57,90630.0,0.9,27.46,37.27,46.5,51.12,55.71,57110.0,77510.0,96710.0,106320.0,115880.0,,
51-8099,"Plant and System Operators, All Other",14080,4.4,31.59,65700.0,1.1,19.57,23.51,30.03,37.73,45.46,40700.0,48900.0,62470.0,78480.0,94560.0,,
51-9011,Chemical Equipment Operators and Tenders,139630,1.6,29.19,60710.0,0.7,18.0,22.1,27.9,35.62,44.35,37440.0,45970.0,58040.0,74080.0,92250.0,,
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",60100,3.3,26.94,56030.0,1.1,17.4,21.35,24.81,30.74,38.34,36200.0,44410.0,51610.0,63930.0,79750.0,,
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",26000,2.8,24.7,51380.0,0.6,17.56,19.44,23.34,28.87,33.29,36520.0,40430.0,48540.0,60040.0,69240.0,,
51-9022,"Grinding and Polishing Workers, Hand",10510,4.7,21.64,45020.0,1.1,16.09,18.0,20.51,24.03,29.23,33480.0,37450.0,42660.0,49980.0,60810.0,,
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",94920,1.5,25.04,52090.0,0.4,17.69,20.6,23.55,28.78,33.75,36790.0,42850.0,48990.0,59860.0,70200.0,,
51-9031,"Cutters and Trimmers, Hand",6060,5.3,19.74,41050.0,1.3,12.8,16.37,18.28,23.01,27.82,26630.0,34050.0,38020.0,47850.0,57870.0,,
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",44980,2.0,22.82,47460.0,0.4,17.27,18.96,22.39,25.87,29.39,35930.0,39440.0,46570.0,53800.0,61120.0,,
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",58770,2.5,22.72,47260.0,0.7,16.65,18.44,22.0,25.28,30.51,34630.0,38360.0,45760.0,52580.0,63450.0,,
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",14280,3.4,24.49,50940.0,0.8,17.29,19.77,23.1,28.77,33.56,35960.0,41130.0,48040.0,59830.0,69800.0,,
