onet_soc_code,rank,soc_code,occupation_title,occupation_description,knn_similarity,manhattan_distance,interest_score,skill_score,education_score,job_zone_score,labor_market_score,profile_name,weight_interest,weight_skill,weight_education,weight_job_zone,weight_labor_market,model,distance_metric,why
27-2012.04,5,27-2012,Talent Directors,"Audition and interview performers to select most appropriate talent for parts in stage, television, radio, or motion picture productions.",0.385388268724077,1.5947857813906656,0.9243134412811272,0.3754044906596217,1.0,1.0,0.7141239512537063,Creative Careers,0.3,0.3,0.15,0.1,0.15,knn_manhattan,manhattan,"Strongest fit: Interests (Artistic interest, 0.92); Education fit (1.00)."
27-1011.00,6,27-1011,Art Directors,"Formulate design concepts and presentation approaches for visual productions and media, such as print, broadcasting, video, and film. Direct workers engaged in artwork or layout design.",0.3850490827072748,1.5970715031159504,0.9707017424898963,0.36951736007865216,1.0,1.0,0.7144297040652389,Creative Careers,0.3,0.3,0.15,0.1,0.15,knn_manhattan,manhattan,"Strongest fit: Interests (Artistic interest, 0.97); Education fit (1.00)."
27-3041.00,7,27-3041,Editors,"Plan, coordinate, revise, or edit written material. May review proposals and drafts for possible publication.",0.38269155626273943,1.613070457487291,0.8980517339127209,0.4127493320810033,1.0,1.0,0.6202702467356616,Creative Careers,0.3,0.3,0.15,0.1,0.15,knn_manhattan,manhattan,"Strongest fit: Interests (Artistic interest, 0.90); Education fit (1.00)."
27-3092.00,8,27-3092,Court Reporters and Simultaneous Captioners,"Use verbatim methods and equipment to capture, store, retrieve, and transcribe pretrial and trial proceedings or other information. Includes stenocaptioners who operate computerized stenographic captioning equipment to provide captions of live or prerecorded broadcasts for hearing-impaired viewers.",0.38174964084521157,1.6195178541254243,0.7161152944005945,0.4324304826019366,1.0,1.0,0.4171574240570535,Creative Careers,0.3,0.3,0.15,0.1,0.15,knn_manhattan,manhattan,"Strongest fit: Interests (Artistic interest, 0.72); Education fit (1.00)."
41-9012.00,9,41-9012,Models,"Model garments or other apparel and accessories for prospective buyers at fashion shows, private showings, or retail establishments. May pose for photos to be used in magazines or advertisements. May pose as subject for paintings, sculptures, and other types of artistic expression.",0.38135549310309375,1.6222252415010185,0.9128636687675376,0.39488367601561225,1.0,1.0,0.1783169118639492,Creative Careers,0.3,0.3,0.15,0.1,0.15,knn_manhattan,manhattan,"Strongest fit: Interests (Artistic interest, 0.91); Education fit (1.00)."
23-2011.00,10,23-2011,Paralegals and Legal Assistants,"Assist lawyers by investigating facts, preparing legal documents, or researching legal precedent. Conduct research to support a legal proceeding, to formulate a defense, or to initiate legal action.",0.38071074986815784,1.626666045931998,0.6575913286499825,0.46384221712447193,1.0,1.0,0.6291489426547486,Creative Careers,0.3,0.3,0.15,0.1,0.15,knn_manhattan,manhattan,"Strongest fit: Interests (Enterprising interest, 0.66); Education fit (1.00)."
25-3031.00,1,25-3031,"Substitute Teachers, Short-Term","Teach students on a short-term basis as a temporary replacement for a regular classroom teacher, typically using the regular teacher's lesson plan.",0.4192595078919652,1.3851575961341827,0.9459835687341953,0.5361361637546738,1.0,1.0,0.6871167399469944,Social Services,0.3,0.3,0.15,0.1,0.15,knn_manhattan,manhattan,"Strongest fit: Interests (Social interest, 0.95); Skills (Active listening, 0.54)."
21-1015.00,2,21-1015,Rehabilitation Counselors,"Counsel individuals to maximize the independence and employability of persons coping with personal, social, and vocational difficulties that result from birth defects, illness, disease, accidents, aging, or the stress of daily life. Coordinate activities for residents of care and treatment facilities. Assess client needs and design and implement rehabilitation programs that may include personal and vocational counseling, training, and job placement.",0.4131163894888972,1.420625338145476,0.9907117105681569,0.5154247680313914,1.0,1.0,0.5017294323195167,Social Services,0.3,0.3,0.15,0.1,0.15,knn_manhattan,manhattan,"Strongest fit: Interests (Social interest, 0.99); Skills (Active listening, 0.52)."
23-2011.00,3,23-2011,Paralegals and Legal Assistants,"Assist lawyers by investigating facts, preparing legal documents, or researching legal precedent. Conduct research to support a legal proceeding, to formulate a defense, or to initiate legal action.",0.4103953112212544,1.4366750122563536,0.8477695038596419,0.45765014869198506,1.0,1.0,0.7536356641847349,Social Services,0.3,0.3,0.15,0.1,0.15,knn_manhattan,manhattan,"Strongest fit: Interests (Conventional interest, 0.85); Education fit (1.00)."
21-1093.00,4,21-1093,Social and Human Service Assistants,"Assist other social and human service providers in providing client services in a wide variety of fields, such as psychology, rehabilitation, or social work, including support for families. May assist clients in identifying and obtaining available benefits and social and community services. May assist social workers with developing, organizing, and conducting programs to prevent and resolve problems relevant to substance abuse, human relationships, rehabilitation, or dependent care.",0.40961453503446815,1.4413196175176064,0.9818460025472675,0.5061255194978527,1.0,1.0,0.692861247965328,Social Services,0.3,0.3,0.15,0.1,0.15,knn_manhattan,manhattan,"Strongest fit: Interests (Social interest, 0.98); Skills (Active listening, 0.51)."
25-3011.00,5,25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Teach or instruct out-of-school youths and adults in basic education, literacy, or English as a Second Language classes, or in classes for earning a high school equivalency credential.",0.4090054704341654,1.4449550734333334,0.9515117951388256,0.5294457175972732,1.0,1.0,0.441567516900917,Social Services,0.3,0.3,0.15,0.1,0.15,knn_manhattan,manhattan,"Strongest fit: Interests (Social interest, 0.95); Skills (Instructing, 0.53)."
25-2021.00,6,25-2021,"Elementary School Teachers, Except Special Education",Teach academic and social skills to students at the elementary school level.,0.40803844925053495,1.4507494375511696,0.9448193587617854,0.5213028799671859,1.0,1.0,0.8343769223257552,Social Services,0.3,0.3,0.15,0.1,0.15,knn_manhattan,manhattan,"Strongest fit: Interests (Social interest, 0.94); Skills (Instructing, 0.52)."
21-1012.00,7,21-1012,"Educational, Guidance, and Career Counselors and Advisors",Advise and assist students and provide educational and vocational guidance services.,0.40696908834253404,1.4571890805582,0.9930747361294888,0.5265267169343021,0.0,0.0,0.747122847850385,Social Services,0.3,0.3,0.15,0.1,0.15,knn_manhattan,manhattan,"Strongest fit: Interests (Social interest, 0.99); Skills (Active listening, 0.53)."
25-3021.00,8,25-3021,Self-Enrichment Teachers,"Teach or instruct individuals or groups for the primary purpose of self-enrichment or recreation, rather than for an occupational objective, educational attainment, competition, or fitness.",0.40676777682577514,1.4584051563856184,0.9400431040571585,0.5147747373840856,1.0,1.0,0.6610849116748655,Social Services,0.3,0.3,0.15,0.1,0.15,knn_manhattan,manhattan,"Strongest fit: Interests (Social interest, 0.94); Skills (Active listening, 0.51)."
25-2031.00,9,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",Teach one or more subjects to students at the secondary school level.,0.4061848652229404,1.4619331876167658,0.9482298967087553,0.4909816087585067,1.0,1.0,0.8445927328389373,Social Services,0.3,0.3,0.15,0.1,0.15,knn_manhattan,manhattan,"Strongest fit: Interests (Social interest, 0.95); Education fit (1.00)."
25-2012.00,10,25-2012,"Kindergarten Teachers, Except Special Education",Teach academic and social skills to kindergarten students.,0.40502014505689815,1.469012991587166,0.9360614422864888,0.5377778452785701,1.0,1.0,0.5973949356648689,Social Services,0.3,0.3,0.15,0.1,0.15,knn_manhattan,manhattan,"Strongest fit: Interests (Social interest, 0.94); Skills (Instructing, 0.54)."
